code,title,description,skills,tasks
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance","Schedule and dispatch workers, work crews, equipment, or service vehicles for conveyance of materials, freight, or passengers, or for normal installation, service, or emergency repairs rendered outside the place of business. Duties may include using radio, telephone, or computer to transmit assignments and compiling statistics and reports on work progress.","[""active listening"", ""speaking""]","[""schedule or dispatch workers, work crews, equipment, or service vehicles to appropriate locations, according to customer requests, specifications, or needs, using radios or telephones."", ""prepare daily work and run schedules."", ""confer with customers or supervising personnel to address questions, problems, or requests for service or equipment."", ""relay work orders, messages, or information to or from work crews, supervisors, or field inspectors, using telephones or two-way radios."", ""receive or prepare work orders."", ""record and maintain files or records of customer requests, work or services performed, charges, expenses, inventory, or other dispatch information."", ""arrange for necessary repairs to restore service and schedules."", ""monitor personnel or equipment locations and utilization to coordinate service and schedules."", ""determine types or amounts of equipment, vehicles, materials, or personnel required, according to work orders or specifications.""]"
43-6011.00,Executive Secretaries and Executive Administrative Assistants,"Provide high-level administrative support by conducting research, preparing statistical reports, and handling information requests, as well as performing routine administrative functions such as preparing correspondence, receiving visitors, arranging conference calls, and scheduling meetings. May also train and supervise lower-level clerical staff.","[""reading comprehension"", ""active listening""]","[""manage and maintain executives' schedules."", ""make travel arrangements for executives."", ""prepare invoices, reports, memos, letters, financial statements, and other documents, using word processing, spreadsheet, database, or presentation software."", ""coordinate and direct office services, such as records, departmental finances, budget preparation, personnel issues, and housekeeping, to aid executives."", ""answer phone calls and direct calls to appropriate parties or take messages."", ""prepare responses to correspondence containing routine inquiries."", ""open, sort, and distribute incoming correspondence, including faxes and email."", ""greet visitors and determine whether they should be given access to specific individuals.""]"
43-6012.00,Legal Secretaries and Administrative Assistants,"Perform secretarial duties using legal terminology, procedures, and documents. Prepare legal papers and correspondence, such as summonses, complaints, motions, and subpoenas. May also assist with legal research.","[""reading comprehension"", ""active listening""]","[""organize and maintain law libraries, documents, and case files."", ""mail, fax, or arrange for delivery of legal correspondence to clients, witnesses, and court officials."", ""prepare and distribute invoices to bill clients or pay account expenses."", ""prepare, proofread, or process legal documents, such as summonses, subpoenas, complaints, appeals, motions, or pretrial agreements."", ""make photocopies of correspondence, documents, and other printed matter."", ""assist attorneys in collecting information such as employment, medical, and other records."", ""complete various forms, such as accident reports, trial and courtroom requests, and applications for clients."", ""receive and place telephone calls."", ""schedule and make appointments.""]"
43-6013.00,Medical Secretaries and Administrative Assistants,"Perform secretarial duties using specific knowledge of medical terminology and hospital, clinic, or laboratory procedures. Duties may include scheduling appointments, billing patients, and compiling and recording medical charts, reports, and correspondence.","[""speaking""]","[""answer telephones and direct calls to appropriate staff."", ""schedule and confirm patient diagnostic appointments, surgeries, or medical consultations."", ""complete insurance or other claim forms."", ""greet visitors, ascertain purpose of visit, and direct them to appropriate staff."", ""transmit correspondence or medical records by mail, e-mail, or fax."", ""maintain medical records, technical library, or correspondence files."", ""receive and route messages or documents, such as laboratory results, to appropriate staff."", ""interview patients to complete documents, case histories, or forms, such as intake or insurance forms."", ""operate office equipment, such as voice mail messaging systems, and use word processing, spreadsheet, or other software applications to prepare reports, invoices, financial statements, letters, case histories, or medical records."", ""perform bookkeeping duties, such as credits or collections, preparing and sending financial statements or bills, and keeping financial records.""]"
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Perform routine administrative functions such as drafting correspondence, scheduling appointments, organizing and maintaining paper and electronic files, or providing information to callers.","[""active listening"", ""speaking""]","[""answer telephones and give information to callers, take messages, or transfer calls to appropriate individuals."", ""greet visitors or callers and handle their inquiries or direct them to the appropriate persons according to their needs."", ""create, maintain, and enter information into databases."", ""use computers for various applications, such as database management or word processing."", ""operate office equipment, such as fax machines, copiers, or phone systems and arrange for repairs when equipment malfunctions."", ""set up and manage paper or electronic filing systems, recording information, updating paperwork, or maintaining documents, such as attendance records, correspondence, or other material.""]"
43-9081.00,Proofreaders and Copy Markers,"Read transcript or proof type setup to detect and mark for correction any grammatical, typographical, or compositional errors. Excludes workers whose primary duty is editing copy. Includes proofreaders of braille.","[""reading comprehension""]","[""mark copy to indicate and correct errors in type, arrangement, grammar, punctuation, or spelling, using standard printers' marks."", ""read corrected copies or proofs to ensure that all corrections have been made."", ""correct or record omissions, errors, or inconsistencies found."", ""compare information or figures on one record against same data on other records, or with original copy, to detect errors."", ""route proofs with marked corrections to authors, editors, typists, or typesetters for correction or reprinting."", ""consult reference books or secure aid of readers to check references with rules of grammar and composition.""]"
43-9111.00,Statistical Assistants,Compile and compute data according to statistical formulas for use in statistical studies. May perform actuarial computations and compile charts and graphs for use by actuaries. Includes actuarial clerks.,"[""mathematics""]","[""compute and analyze data, using statistical formulas and computers or calculators."", ""check source data to verify completeness and accuracy."", ""enter data into computers for use in analyses or reports."", ""compile reports, charts, or graphs that describe and interpret findings of analyses."", ""participate in the publication of data or information."", ""file data and related information, and maintain and update databases."", ""organize paperwork, such as survey forms or reports, for distribution or analysis."", ""code data prior to computer entry, using lists of codes."", ""compile statistics from source materials, such as production or sales records, quality-control or test records, time sheets, or survey sheets.""]"
45-2011.00,Agricultural Inspectors,"Inspect agricultural commodities, processing equipment, and facilities, and fish and logging operations, to ensure compliance with regulations and laws governing health, quality, and safety.","[""quality control analysis""]","[""inspect food products and processing procedures to determine whether products are safe to eat."", ""interpret and enforce government acts and regulations and explain required standards to agricultural workers.""]"
45-4022.00,Logging Equipment Operators,"Drive logging tractor or wheeled vehicle equipped with one or more accessories, such as bulldozer blade, frontal shear, grapple, logging arch, cable winches, hoisting rack, or crane boom, to fell tree; to skid, load, unload, or stack logs; or to pull stumps or clear brush. Includes operating stand-alone logging machines, such as log chippers.","[""operation and control""]","[""inspect equipment for safety prior to use, and perform necessary basic maintenance tasks."", ""control hydraulic tractors equipped with tree clamps and booms to lift, swing, and bunch sheared trees."", ""grade logs according to characteristics such as knot size and straightness, and according to established industry or company standards."", ""drive straight or articulated tractors equipped with accessories such as bulldozer blades, grapples, logging arches, cable winches, and crane booms to skid, load, unload, or stack logs, pull stumps, or clear brush.""]"
47-2072.00,Pile Driver Operators,"Operate pile drivers mounted on skids, barges, crawler treads, or locomotive cranes to drive pilings for retaining walls, bulkheads, and foundations of structures such as buildings, bridges, and piers.","[""operations monitoring"", ""operation and control""]","[""move hand and foot levers of hoisting equipment to position piling leads, hoist piling into leads, and position hammers over pilings."", ""move levers and turn valves to activate power hammers, or to raise and lower drophammers that drive piles to required depths."", ""drive pilings to provide support for buildings or other structures, using heavy equipment with a pile driver head."", ""conduct pre-operational checks on equipment to ensure proper functioning."", ""clean, lubricate, and refill equipment.""]"
47-2073.00,Operating Engineers and Other Construction Equipment Operators,"Operate one or several types of power construction equipment, such as motor graders, bulldozers, scrapers, compressors, pumps, derricks, shovels, tractors, or front-end loaders to excavate, move, and grade earth, erect structures, or pour concrete or other hard surface pavement. May repair and maintain equipment in addition to other duties.","[""operation and control""]","[""learn and follow safety regulations."", ""take actions to avoid potential hazards or obstructions, such as utility lines, other equipment, other workers, or falling objects."", ""start engines, move throttles, switches, or levers, or depress pedals to operate machines, such as bulldozers, trench excavators, road graders, or backhoes."", ""coordinate machine actions with other activities, positioning or moving loads in response to hand or audio signals from crew members."", ""align machines, cutterheads, or depth gauge makers with reference stakes and guidelines or ground or position equipment, following hand signals of other workers."", ""locate underground services, such as pipes or wires, prior to beginning work."", ""signal operators to guide movement of tractor-drawn machines."", ""repair and maintain equipment, making emergency adjustments or assisting with major repairs as necessary."", ""load and move dirt, rocks, equipment, or other materials, using trucks, crawler tractors, power cranes, shovels, graders, or related equipment."", ""drive and maneuver equipment equipped with blades in successive passes over working areas to remove topsoil, vegetation, or rocks or to distribute and level earth or terrain."", ""operate tractors or bulldozers to perform such tasks as clearing land, mixing sludge, trimming backfills, or building roadways or parking lots."", ""monitor operations to ensure that health and safety standards are met."", ""connect hydraulic hoses, belts, mechanical linkages, or power takeoff shafts to tractors."", ""select and fasten bulldozer blades or other attachments to tractors, using hitches.""]"
47-2111.00,Electricians,"Install, maintain, and repair electrical wiring, equipment, and fixtures. Ensure that work is in accordance with relevant codes. May install or service street lights, intercom systems, or electrical control systems.","[""troubleshooting""]","[""prepare sketches or follow blueprints to determine the location of wiring or equipment and to ensure conformance to building and safety codes."", ""place conduit, pipes, or tubing, inside designated partitions, walls, or other concealed areas, and pull insulated wires or cables through the conduit to complete circuits between boxes."", ""work from ladders, scaffolds, or roofs to install, maintain, or repair electrical wiring, equipment, or fixtures."", ""use a variety of tools or equipment, such as power construction equipment, measuring devices, power tools, and testing equipment, such as oscilloscopes, ammeters, or test lamps."", ""assemble, install, test, or maintain electrical or electronic wiring, equipment, appliances, apparatus, or fixtures, using hand tools or power tools."", ""connect wires to circuit breakers, transformers, or other components."", ""maintain current electrician's license or identification card to meet governmental regulations."", ""plan layout and installation of electrical wiring, equipment, or fixtures, based on job specifications and local codes."", ""direct or train workers to install, maintain, or repair electrical wiring, equipment, or fixtures."", ""test electrical systems or continuity of circuits in electrical wiring, equipment, or fixtures, using testing devices, such as ohmmeters, voltmeters, or oscilloscopes, to ensure compatibility and safety of system."", ""diagnose malfunctioning systems, apparatus, or components, using test equipment and hand tools to locate the cause of a breakdown and correct the problem.""]"
47-2152.04,Solar Thermal Installers and Technicians,"Install or repair solar energy systems designed to collect, store, and circulate solar-heated water for residential, commercial or industrial use.","[""installation""]","[""test operation or functionality of mechanical, plumbing, electrical, and control systems."", ""apply weather seal, such as pipe flashings and sealants, to roof penetrations and structural devices."", ""install solar collector mounting devices on tile, asphalt, shingle, or built-up gravel roofs, using appropriate materials and penetration methods."", ""install copper or plastic plumbing using pipes, fittings, pipe cutters, acetylene torches, solder, wire brushes, sand cloths, flux, plastic pipe cleaners, or plastic glue."", ""identify plumbing, electrical, environmental, or safety hazards associated with solar thermal installations."", ""demonstrate start-up, shut-down, maintenance, diagnostic, and safety procedures to thermal system owners."", ""install circulating pumps using pipe, fittings, soldering equipment, electrical supplies, and hand tools."", ""install flat-plat, evacuated glass, or concentrating solar collectors on mounting devices, using brackets or struts."", ""install solar thermal system controllers and sensors."", ""fill water tanks and check tanks, pipes, and fittings for leaks."", ""design active direct or indirect, passive direct or indirect, or pool solar systems."", ""determine locations for installing solar subsystem components, including piping, water heaters, valves, and ancillary equipment."", ""perform routine maintenance or repairs to restore solar thermal systems to baseline operating conditions."", ""install heat exchangers and heat exchanger fluids according to installation manuals and schematics."", ""apply operation or identification tags or labels to system components, as required."", ""connect water heaters and storage tanks to power and water sources."", ""cut, miter, and glue piping insulation to insulate plumbing pipes and fittings."", ""install plumbing, such as dip tubes, port fittings, drain tank valves, pressure temperature relief valves, or tanks, according to manufacturer specifications and building codes."", ""install monitoring system components, such as flow meters, temperature gauges, and pressure gauges, according to system design and manufacturer specifications."", ""assess collector sites to ensure structural integrity of potential mounting surfaces or the best orientation and tilt for solar collectors.""]"
47-4011.00,Construction and Building Inspectors,"Inspect structures using engineering skills to determine structural soundness and compliance with specifications, building codes, and other regulations. Inspections may be general in nature or may be limited to a specific area, such as electrical systems or plumbing.","[""reading comprehension""]","[""approve building plans that meet required specifications."", ""review and interpret plans, blueprints, site layouts, specifications, or construction methods to ensure compliance to legal requirements and safety regulations."", ""issue permits for construction, relocation, demolition, or occupancy."", ""inspect bridges, dams, highways, buildings, wiring, plumbing, electrical circuits, sewers, heating systems, or foundations during and after construction for structural quality, general safety, or conformance to specifications and codes."", ""monitor installation of plumbing, wiring, equipment, or appliances to ensure that installation is performed properly and is in compliance with applicable regulations."", ""inspect and monitor construction sites to ensure adherence to safety standards, building codes, or specifications."", ""confer with owners, violators, or authorities to explain regulations or recommend remedial actions.""]"
47-4021.00,Elevator and Escalator Installers and Repairers,"Assemble, install, repair, or maintain electric or hydraulic freight or passenger elevators, escalators, or dumbwaiters.","[""equipment maintenance"", ""troubleshooting"", ""repairing""]","[""inspect wiring connections, control panel hookups, door installations, and alignments and clearances of cars and hoistways to ensure that equipment will operate properly."", ""assemble, install, repair, and maintain elevators, escalators, moving sidewalks, and dumbwaiters, using hand and power tools, and testing devices such as test lamps, ammeters, and voltmeters."", ""disassemble defective units, and repair or replace parts such as locks, gears, cables, and electric wiring."", ""check that safety regulations and building codes are met, and complete service reports verifying conformance to standards."", ""locate malfunctions in brakes, motors, switches, and signal and control systems, using test equipment."", ""adjust safety controls, counterweights, door mechanisms, and components such as valves, ratchets, seals, and brake linings."", ""read and interpret blueprints to determine the layout of system components, frameworks, and foundations, and to select installation equipment."", ""connect car frames to counterweights, using steel cables."", ""maintain log books that detail all repairs and checks performed."", ""connect electrical wiring to control panels and electric motors."", ""test newly installed equipment to ensure that it meets specifications, such as stopping at floors for set amounts of time."", ""participate in additional training to keep skills up to date."", ""operate elevators to determine power demands, and test power consumption to detect overload factors."", ""install electrical wires and controls by attaching conduit along shaft walls from floor to floor and pulling plastic-covered wires through the conduit.""]"
47-5011.00,"Derrick Operators, Oil and Gas",Rig derrick equipment and operate pumps to circulate mud or fluid through drill hole.,"[""operations monitoring""]","[""inspect derricks, or order their inspection, prior to being raised or lowered."", ""inspect derricks for flaws, and clean and oil derricks to maintain proper working conditions."", ""control the viscosity and weight of the drilling fluid."", ""repair pumps, mud tanks, and related equipment."", ""set and bolt crown blocks to posts at tops of derricks."", ""listen to mud pumps and check regularly for vibration and other problems to ensure that rig pumps and drilling mud systems are working properly."", ""start pumps that circulate mud through drill pipes and boreholes to cool drill bits and flush out drill cuttings."", ""position and align derrick elements, using harnesses and platform climbing devices."", ""supervise crew members, and provide assistance in training them."", ""guide lengths of pipe into and out of elevators."", ""prepare mud reports, and instruct crews about the handling of any chemical additives.""]"
47-5013.00,"Service Unit Operators, Oil and Gas","Operate equipment to increase oil flow from producing wells or to remove stuck pipe, casing, tools, or other obstructions from drilling wells. Includes fishing-tool technicians.","[""operations monitoring""]","[""maintain and perform safety inspections on equipment and tools."", ""operate controls that raise derricks or level rigs."", ""listen to engines, rotary chains, or other equipment to detect faulty operations or unusual well conditions."", ""prepare reports of services rendered, tools used, or time required, for billing purposes."", ""install pressure-control devices onto wellheads."", ""confer with others to gather information regarding pipe or tool sizes or borehole conditions in wells."", ""operate pumps that circulate water, oil, or other fluids through wells to remove sand or other materials obstructing the free flow of oil."", ""drive truck-mounted units to well sites."", ""interpret instrument readings to ascertain the depth of obstruction.""]"
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining","Operate or tend machinery at surface mining site, equipped with scoops, shovels, or buckets to excavate and load loose materials.","[""operation and control""]","[""move levers, depress foot pedals, and turn dials to operate power machinery, such as power shovels, stripping shovels, scraper loaders, or backhoes."", ""set up or inspect equipment prior to operation."", ""become familiar with digging plans, machine capabilities and limitations, and efficient and safe digging procedures in a given application."", ""observe hand signals, grade stakes, or other markings when operating machines so that work can be performed to specifications."", ""operate machinery to perform activities such as backfilling excavations, vibrating or breaking rock or concrete, or making winter roads."", ""receive written or oral instructions regarding material movement or excavation.""]"
47-5023.00,"Earth Drillers, Except Oil and Gas","Operate a variety of drills such as rotary, churn, and pneumatic to tap subsurface water and salt deposits, to remove core samples during mineral exploration or soil testing, and to facilitate the use of explosives in mining or construction. Includes horizontal and earth boring machine operators.","[""operations monitoring""]","[""operate controls to stabilize machines and to position and align drills."", ""start, stop, and control drilling speed of machines and insertion of casings into holes."", ""regulate air pressure, rotary speed, and downward pressure, according to the type of rock or concrete being drilled."", ""select and attach drill bits and drill rods, adding more rods as hole depths increase, and changing drill bits as needed."", ""drive or guide truck-mounted equipment into position, level and stabilize rigs, and extend telescoping derricks."", ""operate machines to flush earth cuttings or to blow dust from holes."", ""verify depths and alignments of boring positions."", ""perform routine maintenance and upgrade work on machines and equipment, such as replacing parts, building up drill bits, and lubricating machinery."", ""select the appropriate drill for the job, using knowledge of rock or soil conditions."", ""document geological formations encountered during work."", ""drive trucks, tractors, or truck-mounted drills to and from work sites.""]"
49-2092.00,"Electric Motor, Power Tool, and Related Repairers","Repair, maintain, or install electric motors, wiring, or switches.","[""repairing""]","[""inspect and test equipment to locate damage or worn parts and diagnose malfunctions, or read work orders or schematic drawings to determine required repairs."", ""reassemble repaired electric motors to specified requirements and ratings, using hand tools and electrical meters."", ""measure velocity, horsepower, revolutions per minute (rpm), amperage, circuitry, and voltage of units or parts to diagnose problems, using ammeters, voltmeters, wattmeters, and other testing devices."", ""repair and rebuild defective mechanical parts in electric motors, generators, and related equipment, using hand tools and power tools."", ""lift units or parts such as motors or generators, using cranes or chain hoists, or signal crane operators to lift heavy parts or subassemblies."", ""record repairs required, parts used, and labor time."", ""disassemble defective equipment so that repairs can be made, using hand tools."", ""adjust working parts, such as fan belts, contacts, and springs, using hand tools and gauges.""]"
49-3011.00,Aircraft Mechanics and Service Technicians,"Diagnose, adjust, repair, or overhaul aircraft engines and assemblies, such as hydraulic and pneumatic systems.","[""operations monitoring"", ""equipment maintenance"", ""troubleshooting"", ""repairing""]","[""examine and inspect aircraft components, including landing gear, hydraulic systems, and deicers to locate cracks, breaks, leaks, or other problems."", ""conduct routine and special inspections as required by regulations."", ""inspect completed work to certify that maintenance meets standards and that aircraft are ready for operation."", ""read and interpret maintenance manuals, service bulletins, and other specifications to determine the feasibility and method of repairing or replacing malfunctioning or damaged components."", ""maintain repair logs, documenting all preventive and corrective aircraft maintenance."", ""modify aircraft structures, space vehicles, systems, or components, following drawings, schematics, charts, engineering orders, and technical publications."", ""inspect airframes for wear or other defects."", ""measure parts for wear, using precision instruments."", ""obtain fuel and oil samples and check them for contamination."", ""maintain, repair, and rebuild aircraft structures, functional components, and parts, such as wings and fuselage, rigging, hydraulic units, oxygen systems, fuel systems, electrical systems, gaskets, or seals."", ""replace or repair worn, defective, or damaged components, using hand tools, gauges, and testing equipment."", ""read and interpret pilots' descriptions of problems to diagnose causes."", ""test operation of engines and other systems, using test equipment, such as ignition analyzers, compression checkers, distributor timers, or ammeters."", ""measure the tension of control cables."", ""spread plastic film over areas to be repaired to prevent damage to surrounding areas."", ""remove or install aircraft engines, using hoists or forklift trucks."", ""assemble and install electrical, plumbing, mechanical, hydraulic, and structural components and accessories, using hand or power tools."", ""locate and mark dimensions and reference lines on defective or replacement parts, using templates, scribes, compasses, and steel rules."", ""fabricate defective sections or parts, using metal fabricating machines, saws, brakes, shears, and grinders."", ""reassemble engines following repair or inspection and reinstall engines in aircraft."", ""service and maintain aircraft and related apparatus by performing activities such as flushing crankcases, cleaning screens, and or moving parts."", ""clean, refuel, and change oil in line service aircraft."", ""trim and shape replacement body sections to specified sizes and fits and secure sections in place, using adhesives, hand tools, and power tools.""]"
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,"Diagnose, adjust, repair, or overhaul buses and trucks, or maintain and repair any type of diesel engines. Includes mechanics working primarily with automobile or marine diesel engines.","[""troubleshooting"", ""repairing""]","[""use handtools, such as screwdrivers, pliers, wrenches, pressure gauges, or precision instruments, as well as power tools, such as pneumatic wrenches, lathes, welding equipment, or jacks and hoists."", ""inspect brake systems, steering mechanisms, wheel bearings, and other important parts to ensure that they are in proper operating condition."", ""raise trucks, buses, and heavy parts or equipment using hydraulic jacks or hoists."", ""adjust and reline brakes, align wheels, tighten bolts and screws, and reassemble equipment."", ""attach test instruments to equipment, and read dials and gauges to diagnose malfunctions."", ""perform routine maintenance such as changing oil, checking batteries, and lubricating equipment and machinery."", ""examine and adjust protective guards, loose bolts, and specified safety devices."", ""inspect, test, and listen to defective equipment to diagnose malfunctions, using test instruments such as handheld computers, motor analyzers, chassis charts, or pressure gauges."", ""rewire ignition systems, lights, and instrument panels."", ""test drive trucks and buses to diagnose malfunctions or to ensure that they are working properly."", ""diagnose and repair vehicle heating and cooling systems."", ""inspect, repair, and maintain automotive and mechanical equipment and machinery, such as pumps and compressors.""]"
49-3041.00,Farm Equipment Mechanics and Service Technicians,"Diagnose, adjust, repair, or overhaul farm machinery and vehicles, such as tractors, harvesters, dairy equipment, and irrigation systems.","[""equipment maintenance"", ""repairing""]","[""maintain, repair, and overhaul farm machinery and vehicles, such as tractors, harvesters, and irrigation systems."", ""dismantle defective machines for repair, using hand tools."", ""record details of repairs made and parts used."", ""reassemble machines and equipment following repair, testing operation and making adjustments, as necessary."", ""clean and lubricate parts."", ""test and replace electrical components and wiring, using test meters, soldering equipment, and hand tools."", ""tune or overhaul engines."", ""examine and listen to equipment, read inspection reports, and confer with customers to locate and diagnose malfunctions."", ""repair or replace defective parts, using hand tools, milling and woodworking machines, lathes, welding equipment, grinders, or saws.""]"
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines","Diagnose, adjust, repair, or overhaul mobile mechanical, hydraulic, and pneumatic equipment, such as cranes, bulldozers, graders, and conveyors, used in construction, logging, and mining.","[""equipment maintenance"", ""troubleshooting"", ""repairing""]","[""repair and replace damaged or worn parts."", ""test mechanical products and equipment after repair or assembly to ensure proper performance and compliance with manufacturers' specifications."", ""operate and inspect machines or heavy equipment to diagnose defects."", ""read and understand operating manuals, blueprints, and technical drawings."", ""dismantle and reassemble heavy equipment using hoists and hand tools."", ""overhaul and test machines or equipment to ensure operating efficiency."", ""adjust, maintain, and repair or replace subassemblies, such as transmissions and crawler heads, using hand tools, jacks, and cranes."", ""repair, rewire, and troubleshoot electrical systems."", ""diagnose faults or malfunctions to determine required repairs, using engine diagnostic equipment such as computerized test equipment and calibration devices."", ""examine parts for damage or excessive wear, using micrometers and gauges."", ""weld or solder broken parts and structural members, using electric or gas welders and soldering tools.""]"
49-3043.00,Rail Car Repairers,"Diagnose, adjust, repair, or overhaul railroad rolling stock, mine cars, or mass transit rail cars.","[""troubleshooting"", ""repairing""]","[""record conditions of cars, and repair and maintenance work performed or to be performed."", ""inspect components such as bearings, seals, gaskets, wheels, and coupler assemblies to determine if repairs are needed."", ""repair or replace defective or worn parts such as bearings, pistons, and gears, using hand tools, torque wrenches, power tools, and welding equipment."", ""inspect the interior and exterior of rail cars coming into rail yards to identify defects and to determine the extent of wear and damage."", ""remove locomotives, car mechanical units, or other components, using pneumatic hoists and jacks, pinch bars, hand tools, and cutting torches.""]"
49-3051.00,Motorboat Mechanics and Service Technicians,Repair and adjust electrical and mechanical equipment of inboard or inboard-outboard boat engines.,"[""repairing""]","[""start motors and monitor performance for signs of malfunctioning, such as smoke, excessive vibration, or misfiring."", ""document inspection and test results and work performed or to be performed."", ""mount motors to boats, and operate boats at various speeds on waterways to conduct operational tests."", ""repair engine mechanical equipment, such as power tilts, bilge pumps, or power take-offs."", ""perform routine engine maintenance on motorboats, such as changing oil and filters."", ""replace parts, such as gears, magneto points, piston rings, or spark plugs, and reassemble engines.""]"
49-9041.00,Industrial Machinery Mechanics,"Repair, install, adjust, or maintain industrial production and processing machinery or refinery and pipeline distribution systems. May also install, dismantle, or move machinery and heavy equipment according to plans.","[""operations monitoring"", ""operation and control"", ""equipment maintenance"", ""troubleshooting"", ""repairing""]","[""repair or maintain the operating condition of industrial production or processing machinery or equipment."", ""repair or replace broken or malfunctioning components of machinery or equipment."", ""clean, lubricate, or adjust parts, equipment, or machinery."", ""disassemble machinery or equipment to remove parts and make repairs."", ""reassemble equipment after completion of inspections, testing, or repairs."", ""examine parts for defects, such as breakage or excessive wear."", ""record repairs and maintenance performed."", ""operate newly repaired machinery or equipment to verify the adequacy of repairs."", ""record parts or materials used and order or requisition new parts or materials, as necessary.""]"
49-9062.00,Medical Equipment Repairers,"Test, adjust, or repair biomedical or electromedical equipment.","[""equipment maintenance"", ""repairing""]","[""test or calibrate components or equipment, following manufacturers' manuals and troubleshooting techniques, using hand tools, power tools, or measuring devices."", ""perform preventive maintenance or service, such as cleaning, lubricating, or adjusting equipment."", ""inspect, test, or troubleshoot malfunctioning medical or related equipment, following manufacturers' specifications and using test and analysis instruments."", ""keep records of maintenance, repair, and required updates of equipment."", ""disassemble malfunctioning equipment and remove, repair, or replace defective parts, such as motors, clutches, or transformers."", ""examine medical equipment or facility's structural environment and check for proper use of equipment to protect patients and staff from electrical or mechanical hazards and to ensure compliance with safety regulations."", ""install medical equipment."", ""test, evaluate, and classify excess or in-use medical equipment and determine serviceability, condition, and disposition, in accordance with regulations."", ""plan and carry out work assignments, using blueprints, schematic drawings, technical manuals, wiring diagrams, or liquid or air flow sheets, following prescribed regulations, directives, or other instructions as required.""]"
49-9081.00,Wind Turbine Service Technicians,"Inspect, diagnose, adjust, or repair wind turbines. Perform maintenance on wind turbine equipment including resolving electrical, mechanical, and hydraulic malfunctions.","[""operations monitoring"", ""equipment maintenance"", ""troubleshooting"", ""repairing""]","[""troubleshoot or repair mechanical, hydraulic, or electrical malfunctions related to variable pitch systems, variable speed control systems, converter systems, or related components."", ""perform routine maintenance on wind turbine equipment, underground transmission systems, wind fields substations, or fiber optic sensing and control systems."", ""diagnose problems involving wind turbine generators or control systems."", ""test electrical components of wind systems with devices, such as voltage testers, multimeters, oscilloscopes, infrared testers, or fiber optic equipment."", ""start or restart wind turbine generator systems to ensure proper operations."", ""climb wind turbine towers to inspect, maintain, or repair equipment."", ""maintain tool and spare parts inventories required for repair, installation, or replacement services."", ""test structures, controls, or mechanical, hydraulic, or electrical systems, according to test plans or in coordination with engineers.""]"
49-9097.00,Signal and Track Switch Repairers,"Install, inspect, test, maintain, or repair electric gate crossings, signals, signal equipment, track switches, section lines, or intercommunications systems within a railroad system.","[""equipment maintenance"", ""troubleshooting"", ""repairing""]","[""inspect and test operation, mechanical parts, and circuitry of gate crossings, signals, and signal equipment such as interlocks and hotbox detectors."", ""inspect electrical units of railroad grade crossing gates and repair loose bolts and defective electrical connections and parts."", ""test and repair track circuits."", ""drive motor vehicles to job sites."", ""install, inspect, maintain, and repair various railroad service equipment on the road or in the shop, including railroad signal systems.""]"
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to roll steel or plastic forming bends, beads, knurls, rolls, or plate, or to flatten, temper, or reduce gauge of material.","[""operations monitoring"", ""operation and control""]","[""monitor machine cycles and mill operation to detect jamming and to ensure that products conform to specifications."", ""adjust and correct machine set-ups to reduce thicknesses, reshape products, and eliminate product defects."", ""start operation of rolling and milling machines to flatten, temper, form, and reduce sheet metal sections and to produce steel strips."", ""examine, inspect, and measure raw materials and finished products to verify conformance to specifications."", ""read rolling orders, blueprints, and mill schedules to determine setup specifications, work sequences, product dimensions, and installation procedures."", ""manipulate controls and observe dial indicators to monitor, adjust, and regulate speeds of machine mechanisms."", ""set distance points between rolls, guides, meters, and stops, according to specifications."", ""calculate draft space and roll speed for each mill stand to plan rolling sequences and specified dimensions and tempers."", ""install equipment such as guides, guards, gears, cooling equipment, and rolls, using hand tools."", ""position, align, and secure arbors, spindles, coils, mandrels, dies, and slitting knives.""]"
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic work pieces.","[""operations monitoring"", ""operation and control""]","[""inspect or measure finished workpieces to determine conformance to specifications, using measuring instruments, such as gauges or micrometers."", ""measure workpieces and lay out work, using precision measuring devices."", ""observe machine operations to detect any problems, making necessary adjustments to correct problems."", ""move machine controls to index workpieces, and to adjust machines for pre-selected operational settings."", ""study blueprints, work orders, or machining instructions to determine product specifications, tool requirements, and operational sequences."", ""select machine tooling to be used, using knowledge of machine and production requirements."", ""mount and position tools in machine chucks, spindles, or other tool holding devices, using hand tools."", ""activate machine start-up switches to grind, lap, hone, debar, shear, or cut workpieces, according to specifications."", ""set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic workpieces."", ""set and adjust machine controls according to product specifications, using knowledge of machine operation.""]"
